date=2026-04-17 time=11:19:46 logver=1 id=96953 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=10.136.51.137 devicemac=28-11-a8-11-4e-3c site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" user=edean555@MILLARDPS msg="Endpoint Control Status Changed" eponlinest=regoffline epplace=onnet emshostname=mil-wit-fortiems status=unknown
date=2026-04-17 time=11:20:51 logver=1 id=96953 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=10.136.51.137 devicemac=28-11-a8-11-4e-3c site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" user=edean555@MILLARDPS msg="Endpoint Control Status Changed" eponlinest=regonline epplace=onnet emshostname=mil-wit-fortiems status=unknown
date=2026-04-17 time=11:39:40 logver=1 id=96953 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=10.136.51.137 devicemac=28-11-a8-11-4e-3c site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" user=edean555@MILLARDPS msg="Endpoint Control Status Changed" eponlinest=regoffline epplace=onnet emshostname=mil-wit-fortiems status=unknown
date=2026-04-17 time=11:40:41 logver=1 id=96953 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=10.136.51.137 devicemac=28-11-a8-11-4e-3c site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" user=edean555@MILLARDPS msg="Endpoint Control Status Changed" eponlinest=regonline epplace=onnet emshostname=mil-wit-fortiems status=unknown
date=2026-04-17 time=11:41:57 logver=1 id=96958 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=10.136.51.137 devicemac=28-11-a8-11-4e-3c site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="User social media information"
date=2026-04-17 time=11:43:21 logver=1 id=96851 type=systemevent subtype=system eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield is enabled"
date=2026-04-17 time=11:43:23 logver=1 id=96953 type=systemevent subtype=endpoint eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="Endpoint Control Status Changed" eponlinest=regoffline epplace=onnet emshostname=mil-wit-fortiems status=unknown
date=2026-04-17 time=11:43:24 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:25 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:26 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:27 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:28 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:28 logver=1 id=96882 type=systemevent subtype=system eventtype=status level=info uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="Logged when push configuration is received" policyname="Win-Student & Desktop"
date=2026-04-17 time=11:43:32 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:35 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:41 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:45 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:50 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
date=2026-04-17 time=11:43:55 logver=1 id=96855 type=systemevent subtype=system eventtype=action level=warning uid=728877440E5241CAB46F50D11AC90911 devid=FCT8000039133700 hostname=RMS-S-30-308785 pcdomain=MILLARDPS.NET deviceip=127.0.0.1 devicemac=N/A site=default fctver=7.4.5.1949 fgtserial=N/A emsserial=FCTEMS8825005269 usingpolicy="Win-Student & Desktop" os="Microsoft Windows 11 Enterprise Edition, 64-bit (build 26200)" msg="FortiShield has prevented an application from modifying a file or registry setting protected by FortiClient" processname="C:\\Program Files\\Fortinet\\FortiClient\\FortiTcs.exe" file="C:\\Program Files\\Fortinet\\FortiClient\\logs\\trace\\FortiTcs.exe_FortiAuth.log"
