[04-15 08:35:02][   INFO]: sessionId=-3[04-15 08:35:02][   INFO]: vcm start 9672
[04-15 08:35:02][   INFO]: start do scan
[04-15 08:35:03][   INFO]: starting, @phase:0, 0 of 0
[04-15 08:35:04][   INFO]: no Detection element in vid 4961
[04-15 08:35:04][   INFO]: no Detection element in vid 4962
[04-15 08:35:04][   INFO]: no Detection element in vid 5160
[04-15 08:35:04][   INFO]: no Detection element in vid 5161
[04-15 08:35:04][   INFO]: no Detection element in vid 5165
[04-15 08:35:04][   INFO]: no Detection element in vid 5166
[04-15 08:35:04][   INFO]: no Detection element in vid 5167
[04-15 08:35:04][   INFO]: no Detection element in vid 6197
[04-15 08:35:04][   INFO]: no Detection element in vid 6203
[04-15 08:35:04][   INFO]: no Detection element in vid 20022
[04-15 08:35:04][   INFO]: no Detection element in vid 20024
[04-15 08:35:04][   INFO]: no Detection element in vid 20028
[04-15 08:35:04][   INFO]: no Detection element in vid 20029
[04-15 08:35:04][   INFO]: no Detection element in vid 20031
[04-15 08:35:04][   INFO]: no Detection element in vid 20032
[04-15 08:35:05][   INFO]: no Detection element in vid 23831
[04-15 08:35:05][   INFO]: no Detection element in vid 23846
[04-15 08:35:05][   INFO]: no Detection element in vid 23853
[04-15 08:35:05][   INFO]: no Detection element in vid 23855
[04-15 08:35:05][   INFO]: no Detection element in vid 23856
[04-15 08:35:05][   INFO]: no Detection element in vid 23859
[04-15 08:35:05][   INFO]: no Detection element in vid 23860
[04-15 08:35:05][   INFO]: no Detection element in vid 23861
[04-15 08:35:05][   INFO]: no Detection element in vid 23863
[04-15 08:35:05][   INFO]: no Detection element in vid 23865
[04-15 08:35:05][   INFO]: no Detection element in vid 23868
[04-15 08:35:05][   INFO]: no Detection element in vid 23869
[04-15 08:35:05][   INFO]: no Detection element in vid 23879
[04-15 08:35:05][   INFO]: no Detection element in vid 23882
[04-15 08:35:05][   INFO]: no Detection element in vid 23887
[04-15 08:35:05][   INFO]: no Detection element in vid 23890
[04-15 08:35:05][   INFO]: no Detection element in vid 23894
[04-15 08:35:05][   INFO]: no Detection element in vid 23895
[04-15 08:35:05][   INFO]: no Detection element in vid 23896
[04-15 08:35:05][   INFO]: no Detection element in vid 23897
[04-15 08:35:05][   INFO]: no Detection element in vid 23898
[04-15 08:35:05][   INFO]: no Detection element in vid 23904
[04-15 08:35:05][   INFO]: no Detection element in vid 23906
[04-15 08:35:05][   INFO]: no Detection element in vid 23908
[04-15 08:35:05][   INFO]: no Detection element in vid 23910
[04-15 08:35:05][   INFO]: no Detection element in vid 23911
[04-15 08:35:05][   INFO]: no Detection element in vid 23912
[04-15 08:35:05][   INFO]: no Detection element in vid 23913
[04-15 08:35:05][   INFO]: no Detection element in vid 23917
[04-15 08:35:05][   INFO]: no Detection element in vid 23920
[04-15 08:35:05][   INFO]: no Detection element in vid 23933
[04-15 08:35:05][   INFO]: no Detection element in vid 23934
[04-15 08:35:05][   INFO]: no Detection element in vid 23935
[04-15 08:35:05][   INFO]: no Detection element in vid 23939
[04-15 08:35:05][   INFO]: no Detection element in vid 23942
[04-15 08:35:05][   INFO]: no Detection element in vid 23947
[04-15 08:35:05][   INFO]: no Detection element in vid 23948
[04-15 08:35:05][   INFO]: no Detection element in vid 23950
[04-15 08:35:05][   INFO]: no Detection element in vid 23953
